% structure for data mining single hand sign language gestures
@relation SingleHandGestures
@attribute 'NoHands' numeric
@attribute 'thumb_angle' numeric
@attribute 'index_angle' numeric
@attribute 'middle_angle' numeric
@attribute 'ring_angle' numeric
@attribute 'pinky_angle' numeric
@attribute 'Dist_thumb_index' numeric
@attribute 'Dist_thumb_middle' numeric
@attribute 'Dist_thumb_ring' numeric
@attribute 'Dist_thumb_pinky' numeric
@attribute 'Dist_index_middle' numeric
@attribute 'Dist_index_ring' numeric
@attribute 'Dist_index_pinky' numeric
@attribute 'Dist_middle_ring' numeric
@attribute 'Dist_middle_pinky' numeric
@attribute 'Dist_ring_pinky' numeric
@attribute 'class' {c,g,bad,ok}
@data
1, 0.1584162, 0.7543101, 0.7915955, 0.7943377, 0.7872081,28.73359,49.14888,61.00488,67.8644,23.88132,38.77099,50.34288,15.69983,29.78843,15.48687,?
1, 0.1769413, 0.7758447, 0.8090432, 0.8047534, 0.7922217,43.06093,56.23993,67.70036,75.43167,13.77102,27.30218,39.4607,14.29034,28.30887,15.2044,?
1, 0.1800143, 0.7812235, 0.8001128, 0.7958558, 0.7830335,37.12178,52.59528,63.8609,72.11671,17.50893,31.11486,43.87301,14.04647,28.48061,15.55733,?
1, 0.2060968, 0.7855273, 0.796102, 0.7916347, 0.7844524,37.80729,51.1157,62.63339,71.07097,15.03156,29.02071,41.88113,14.51795,28.95218,15.50393,?
1, 0.1467475, 0.7149107, 0.7953737, 0.7959546, 0.7909598,11.5698,50.30956,61.43359,68.97573,40.88028,52.9306,62.09512,15.03479,29.63246,15.69233,?
1, 0.105425, 0.1850046, 0.8248148, 0.8091452, 0.8028748,47.76205,49.17598,61.34335,64.60892,92.158,105.3268,108.5153,17.3938,30.21398,15.33493,?
1, 0.08927214, 0.2179312, 0.8227515, 0.800508, 0.7971059,28.60171,51.54264,68.84203,73.84978,79.1225,96.24165,100.3893,19.62696,31.31028,15.24172,?
1, 0.1127173, 0.3841825, 0.8125592, 0.8211498, 0.8119019,28.58079,63.65688,74.31871,80.36437,46.77449,56.92135,63.8463,14.07732,27.79679,15.02042,?
1, 0.09003925, 0.1929069, 0.8092613, 0.8232644, 0.8179324,26.12704,60.33817,69.11584,72.97331,85.49467,95.00138,99.01807,14.33918,28.2015,15.13777,?
1, 0.08386552, 0.2418236, 0.817779, 0.8174099, 0.8211846,29.621,59.90869,71.00367,76.30722,89.15118,99.41191,102.9337,16.94441,31.2047,15.60372,?
1, 0.08051854, 0.03599429, 0.9389147, 0.8090048, 0.7971677,71.9147,42.4291,68.93573,75.52943,103.2579,126.9697,129.5417,27.19089,36.61339,14.73028,?
1, 0.0546658, 0.02537084, 0.9395418, 0.7981501, 0.7914711,70.13027,29.08315,72.86069,78.90042,85.36321,128.0773,129.7636,46.21571,50.40837,15.09497,?
1, 0.0558238, 0.02004266, 0.9293091, 0.7921394, 0.7819515,69.21252,46.00312,72.85013,79.91473,103.7723,128.0033,130.6314,27.05543,36.98297,17.00361,?
1, 0.03557891, 0.01854229, 0.8310361, 0.7862507, 0.7695898,66.856,59.19719,72.80244,80.3177,114.7084,125.8814,128.7439,15.67496,31.69002,18.8147,?
1, 0.0207026, 0.02105308, 0.8279595, 0.8100469, 0.7958006,67.08299,68.95493,81.78253,88.18714,116.5222,123.4279,122.3961,15.96985,29.40215,15.0001,?
1, 0.0315181, 0.0385226, 0.8218995, 0.8122689, 0.8023154,59.79609,68.28591,80.00029,86.53309,114.0141,121.2655,121.3584,14.38462,28.00654,15.1354,?
1, 0.1177961, 0.9337945, 0.8155407, 0.814037, 0.8046596,43.84596,62.26078,73.19011,79.76344,20.92269,32.84268,42.73032,14.0422,27.79836,15.07875,?
1, 0.1230521, 0.4619691, 0.792073, 0.7970387, 0.7871199,21.27652,55.19288,65.12332,70.03746,74.89661,85.49695,90.52222,14.73124,28.37421,14.9945,?
